disease,item,category,details,source_name,source_url,evidence_level,requires_clinician,pregnancy_note,allergy_note
Eczema,Topical corticosteroid,Medicine reference,Topical corticosteroids are commonly used for inflamed eczema; strength and duration should be clinician-directed.,MedlinePlus,https://www.medlineplus.gov/ency/article/000853.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Eczema,Antihistamine for selected itching,Medicine reference,"Some antihistamines may help itching when appropriate, particularly when allergy symptoms are involved.",MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000418.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Osteoarthritis,Acetaminophen,Medicine reference,May help osteoarthritis pain; individual safety depends on liver health and total acetaminophen exposure.,MedlinePlus,https://www.medlineplus.gov/ency/article/000423.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Osteoarthritis,NSAID pain reliever,Medicine reference,"NSAIDs such as ibuprofen or naproxen may relieve OA symptoms but can have kidney, stomach and cardiovascular risks.",MedlinePlus,https://www.medlineplus.gov/ency/article/000423.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Osteoarthritis,Exercise / physical activity,Care guidance,Staying active can reduce pain and stiffness and support muscle strength.,MedlinePlus,https://www.medlineplus.gov/ency/quiz/000423_22.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Gout,NSAID,Medicine reference,NSAIDs can reduce pain and inflammation during a gout attack for appropriate patients.,MedlinePlus,https://www.medlineplus.gov/ency/article/000422.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Gout,Colchicine,Medicine reference,"Colchicine is a prescription option that can reduce pain, swelling and inflammation during gout attacks.",MedlinePlus,https://www.medlineplus.gov/ency/article/000422.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Gout,Allopurinol / urate-lowering therapy,Medicine reference,Daily urate-lowering medicines such as allopurinol may be used to reduce uric acid and prevent future attacks when prescribed.,MedlinePlus,https://www.medlineplus.gov/ency/article/000422.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Rheumatoid Arthritis,Methotrexate / DMARD therapy,Medicine reference,Methotrexate is a commonly used disease-modifying antirheumatic drug; treatment requires medical monitoring.,MedlinePlus,https://www.medlineplus.gov/ency/article/000431.htm,Official patient reference,Requires specialist/clinician management,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Rheumatoid Arthritis,Other DMARDs,Medicine reference,"Other DMARDs such as leflunomide, hydroxychloroquine or sulfasalazine may be used depending on the case.",MedlinePlus,https://www.medlineplus.gov/ency/article/000431.htm,Official patient reference,Requires specialist/clinician management,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Rheumatoid Arthritis,Regular monitoring,Care guidance,Some RA medicines can have serious side effects and require blood tests and clinical monitoring.,MedlinePlus,https://www.medlineplus.gov/ency/article/000431.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypothyroidism,Levothyroxine,Medicine reference,Levothyroxine replaces thyroid hormone and is the most commonly used medicine for hypothyroidism.,MedlinePlus,https://www.medlineplus.gov/druginfo/meds/a682461.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hypothyroidism,Thyroid blood-test monitoring,Care guidance,Thyroid hormone levels need periodic monitoring so treatment can be adjusted appropriately.,MedlinePlus,https://www.medlineplus.gov/ency/article/000353.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hyperthyroidism,Methimazole / antithyroid medicine,Medicine reference,Antithyroid medicines such as methimazole may reduce thyroid hormone production; choice depends on cause and patient factors.,MedlinePlus,https://www.medlineplus.gov/ency/article/000356.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hyperthyroidism,Beta blocker for selected symptoms,Medicine reference,Beta blockers may reduce symptoms such as tremor and rapid heartbeat while definitive treatment is arranged.,MedlinePlus,https://www.medlineplus.gov/ency/article/000356.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Hyperthyroidism,Definitive treatment review,Care guidance,Radioactive iodine or surgery may be appropriate for some patients depending on cause and circumstances.,MedlinePlus,https://www.medlineplus.gov/hyperthyroidism.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Migraine,Acetaminophen / NSAID for mild attacks,Supportive care,"For mild migraine attacks, acetaminophen, naproxen or ibuprofen may help some people. Medication overuse can cause rebound headaches.",MedlinePlus,https://www.medlineplus.gov/ency/article/000709.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Migraine,Triptan evaluation,Medicine reference,"If simple pain medicines do not help, a clinician may consider a triptan; some people with cardiovascular risks or pregnancy need different options.",MedlinePlus,https://www.medlineplus.gov/ency/article/000709.htm,Official patient reference,Clinical review recommended,Pregnancy requires clinician review before migraine medication use.,Check active ingredients and allergy history before use.
Migraine,Hydration and trigger management,Care guidance,Hydration and identifying migraine triggers can support symptom management.,MedlinePlus,https://www.medlineplus.gov/ency/article/000709.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Epilepsy,Antiseizure medicine,Medicine reference,Antiseizure medicines can reduce future seizures; the specific medicine depends on seizure type and requires clinical management.,MedlinePlus,https://medlineplus.gov/ency/article/000694.htm,Official patient reference,Requires clinician management,Many epilepsy medicines require special pregnancy planning; clinician review is essential.,Check active ingredients and allergy history before use.
Epilepsy,Do not stop antiseizure medicine abruptly,Safety,Stopping or changing seizure medicine without professional guidance can increase seizure risk.,MedlinePlus,https://medlineplus.gov/ency/article/000694.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Psoriasis,Topical corticosteroid / anti-inflammatory treatment,Medicine reference,"Topical treatments, including corticosteroid creams/ointments, are commonly used for psoriasis.",MedlinePlus,https://www.medlineplus.gov/ency/article/000434.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Psoriasis,Phototherapy,Medicine reference,Phototherapy is one treatment option for psoriasis and is usually clinician-supervised.,MedlinePlus,https://www.medlineplus.gov/ency/article/000434.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Urinary Tract Infection,Antibiotic selected after clinical assessment,Medicine reference,"UTIs are generally treated with antibiotics, with the specific antibiotic chosen based on the site/severity and patient factors.",MedlinePlus,https://www.medlineplus.gov/urinarytractinfections.html,Official patient reference,Requires clinician assessment,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Urinary Tract Infection (UTI),Antibiotic selected after clinical assessment,Medicine reference,"UTIs are generally treated with antibiotics, with the specific antibiotic chosen based on the site/severity and patient factors.",MedlinePlus,https://www.medlineplus.gov/urinarytractinfections.html,Official patient reference,Requires clinician assessment,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Urinary Tract Infection,Nitrofurantoin,Medicine reference,Nitrofurantoin is an antibiotic used to treat urinary tract infections; suitability depends on the individual.,MedlinePlus,https://www.medlineplus.gov/druginfo/meds/a682291.html,Official patient reference,Prescription/clinician decision,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Urinary Tract Infection (UTI),Nitrofurantoin,Medicine reference,Nitrofurantoin is an antibiotic used to treat urinary tract infections; suitability depends on the individual.,MedlinePlus,https://www.medlineplus.gov/druginfo/meds/a682291.html,Official patient reference,Prescription/clinician decision,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Sinusitis,Saline nasal spray / irrigation,Care guidance,Saline measures can help with nasal symptoms and mucus.,MedlinePlus,https://www.medlineplus.gov/ency/article/000647.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Sinusitis,Pain reliever,Supportive care,"Acetaminophen, ibuprofen or naproxen may help sinus pain for appropriate patients.",MedlinePlus,https://www.medlineplus.gov/ency/article/000647.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Sinusitis,Antibiotic only when indicated,Medicine reference,Most acute sinusitis does not require antibiotics; clinicians may use them in selected bacterial cases.,MedlinePlus,https://medlineplus.gov/sinusitis.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Depression,Antidepressant evaluation,Medicine reference,Antidepressants can help control depression symptoms; finding the right treatment may take time and clinician follow-up.,MedlinePlus,https://www.medlineplus.gov/depression.html,Official patient reference,Clinical management recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Depression,Psychotherapy / talk therapy,Care guidance,Psychotherapy is an important treatment option and may be used alone or with medication.,MedlinePlus,https://www.medlineplus.gov/depression.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Depression,Urgent mental-health assessment when suicidal,Emergency,Suicidal thoughts or inability to function safely require urgent professional help.,MedlinePlus,https://www.medlineplus.gov/ency/article/000945.htm,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Anxiety Disorders,Psychotherapy / CBT,Care guidance,"Psychotherapy, including CBT, is a main treatment for anxiety disorders and should be matched to the person.",MedlinePlus,https://www.medlineplus.gov/anxiety.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Anxiety Disorders,Antidepressant evaluation,Medicine reference,Certain antidepressants can treat anxiety disorders; selection should be made with a clinician.,MedlinePlus,https://www.medlineplus.gov/anxiety.html,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Anxiety Disorders,Buspirone evaluation,Medicine reference,Buspirone is one non-habit-forming anti-anxiety option described by MedlinePlus; it requires professional selection and monitoring.,MedlinePlus,https://www.medlineplus.gov/ency/patientinstructions/000685.htm,Official patient/medical reference,Clinical review recommended,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Stroke,Emergency evaluation,Emergency,Stroke is time-sensitive. Suspected stroke needs emergency assessment immediately rather than an automated medicine recommendation.,MedlinePlus,https://www.medlineplus.gov/stroke.html,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Stroke,Hospital stroke treatment,Medicine reference,Acute treatment depends on stroke type and timing; some ischemic strokes may receive clot-dissolving treatment in hospital.,MedlinePlus,https://www.medlineplus.gov/stroke.html,Official patient reference,Hospital specialist decision,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Myocardial Infarction (Heart Attack),Emergency cardiac care,Emergency,A heart attack is a medical emergency; emergency services should be contacted immediately.,MedlinePlus,https://www.medlineplus.gov/ency/article/000195.htm,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Myocardial Infarction (Heart...,Emergency cardiac care,Emergency,A heart attack is a medical emergency; emergency services should be contacted immediately.,MedlinePlus,https://www.medlineplus.gov/ency/article/000195.htm,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Sepsis,Emergency hospital treatment,Emergency,"Sepsis is a life-threatening emergency that needs rapid clinical treatment, commonly including IV antibiotics and supportive care.",MedlinePlus,https://medlineplus.gov/sepsis.html,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Appendicitis,Urgent surgical assessment,Emergency,Appendicitis is a medical emergency and usually requires prompt surgical assessment; do not rely on an automated medicine recommendation.,MedlinePlus,https://www.medlineplus.gov/appendicitis.html,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
Pneumothorax,Emergency respiratory assessment,Emergency,A large pneumothorax can be life-threatening and may require a chest tube and hospital care.,MedlinePlus,https://www.medlineplus.gov/ency/article/000087.htm,Official patient reference,Urgent clinical evaluation,Pregnancy/breastfeeding requires clinician review.,Check active ingredients and allergy history before use.
